id,SalePrice
2,116834.04433809912
4,253752.32936739025
6,199221.84730672507
7,213369.8175629963
17,245034.49644348407
18,299217.95314867323
22,187509.65365636643
27,114937.34199575678
31,92307.43563646766
36,138077.66762772886
39,348491.96418726776
40,236410.30831196287
42,283820.731373821
46,218979.6592891233
53,164851.66564753526
58,182833.56526237846
61,307729.03367813816
72,222815.64581357304
79,124472.39934983362
80,220969.0824483966
82,158202.2869247404
83,88952.9944096073
85,139177.09115087695
88,121001.77727639045
92,284384.2242025312
93,280113.85671780544
95,176034.75188491747
102,165040.8719246025
103,175009.2614336207
106,240420.42794298785
107,156710.61815466743
110,220887.19234890203
114,209925.79899067536
116,192227.89214784958
117,166262.85871428225
118,140071.542437311
125,158528.20307020887
126,167885.5397384559
127,135187.3079797892
128,209403.84173780264
134,142381.21255407075
135,172824.54447467893
137,228471.43547426027
143,139560.61334399643
147,130521.2461111354
148,189816.0684741458
150,127841.22858081065
156,146210.2112698411
157,140402.63338609258
159,141595.65139881338
161,251515.12108244476
167,139853.26759661303
170,116144.60671850655
171,87992.01748182955
175,89030.49293932493
179,129991.73694261642
181,115080.91697144894
186,202229.82162966882
193,186372.85895723975
194,81721.20447375206
206,91149.88168840723
208,129357.87299304405
210,156709.3272361552
211,80292.50811758405
212,105511.04059448936
214,77025.24034043483
215,128871.40310715428
217,127687.65193736569
222,152181.413180868
227,139937.16846490337
228,154767.74991692908
233,246787.4176726033
235,120896.0405883859
238,135128.32546856796
241,170634.46172708448
252,183833.62289800332
253,184771.93493626008
256,154232.8506740521
257,138652.99695749368
258,205244.13569411836
259,175698.27718052373
261,148684.5467395505
263,127315.18990982081
266,237325.7783211857
267,217931.33091268115
270,139809.39210272627
271,259516.96766783818
276,112721.29366390752
285,153407.63208184586
288,68795.56758297894
289,138481.6511511589
290,130427.93610559504
291,110420.22348255526
292,110420.16867404734
293,188024.37348133908
294,220748.49696563184
295,172958.19910476482
304,121856.08393382643
322,334240.9060031753
326,162332.23799731125
327,90349.04273431806
328,126538.49505265379
331,78628.95821369955
332,78084.08247016302
333,92183.89857735997
335,143642.0707210661
337,134239.13250051148
342,119763.55560262543
343,177374.2294522907
347,181804.47722767448
350,328252.1751197979
352,229224.08910522005
358,179664.03411856454
359,174774.0820257283
360,150212.94748977866
368,290887.0863464895
369,258603.4764541198
373,183950.94849240387
377,262424.71131550474
383,182684.67026307483
386,213024.05165647567
387,233563.05591161855
390,169743.35864391216
391,147017.48921774398
395,167740.6112119027
397,139230.54438453968
398,114112.45028636395
401,117484.42799507616
404,109982.51406867457
408,114343.44344761189
409,131366.47291099868
410,142900.63815875605
418,122157.7281695452
422,409972.75366746314
427,292891.5162587825
431,370295.8826935564
433,485851.6321234489
437,360408.7053421849
438,260490.39039202686
442,335963.3756534737
447,205560.7080486924
459,321610.36087294674
460,243442.22500006238
464,184121.00663762065
465,179694.04619399583
467,178536.53101414276
468,181476.37759699262
474,167937.76589341514
480,198487.74550213
481,207987.89467031564
483,210106.33382425152
488,177376.38527048324
492,185612.98897291996
494,183378.68094358544
499,312290.804203078
500,240633.61762991842
501,301263.74965469044
503,243302.73211143375
506,251094.7896243122
508,236389.9223480979
511,279442.2433231823
515,228937.71857909215
519,228656.2591888516
521,262767.78457264433
530,218048.88035636392
532,227624.32278271473
534,188825.60054074795
540,170084.98941367088
541,129365.95394913462
551,156009.69915540694
552,161692.06923234675
554,80247.46416500659
555,124106.88296716398
556,127318.21390999755
557,124001.67230730859
565,233505.60782290064
566,236469.0058375939
567,147293.058110846
569,192784.2979225464
570,182830.79274638943
574,210490.10985883084
575,314115.89319321123
576,194682.8880303493
577,206238.31719067207
578,225999.8839055095
583,227539.36951942617
584,220475.83422249174
585,156967.7012293107
587,195490.49214621156
593,233563.689779586
597,217912.6643167207
598,164273.86192322933
599,160097.0295493011
600,123525.21441261242
605,153297.04277336402
607,164064.21812597624
608,158076.6171775914
611,171900.75936007415
616,121709.49432526367
625,175820.4424646735
629,143975.62425511304
630,119699.03151197439
631,143107.75507955192
640,174018.48393629177
642,141825.64806410501
643,146452.5989815607
646,103330.41271709841
647,163754.80086748351
655,81900.04808584071
659,107171.8587634994
663,58342.4626546951
665,97391.51069623942
667,179597.77155146064
673,155667.8847535048
676,157186.25900018206
680,144712.07130368028
682,127106.51182686376
687,157111.6645502733
688,145204.07547574246
692,126823.00865687907
693,114685.69645998058
695,139211.7446545088
697,118319.10008293886
700,108002.65890047299
702,124950.649149363
703,141862.02434964487
704,98099.14529656772
712,102730.75038036237
