id,SalePrice
2658,130839.80275492041
2718,149462.2866036352
2414,222219.3164311112
1989,108518.4533691231
625,175815.15386381213
333,92181.44927586615
1327,111690.69485108122
858,149063.53744592975
95,176034.20044128224
1568,174723.1494879328
2482,162316.5158747784
1364,125453.38467141608
2584,150122.53988427014
818,291781.6230335825
2673,152550.2278136853
2089,135153.00264201447
1297,151505.14365833625
790,124152.33984326123
2616,191426.0182458986
720,187653.4637967
222,152179.718240642
557,123994.6044808272
1148,202418.58132783818
2766,176332.44768130357
534,188825.08628702452
1452,124438.20507303101
630,119694.23479201325
2648,108544.68125094085
125,158514.23701206484
1904,57294.257672172345
1670,108144.17655336931
756,99249.99956921772
717,186692.6947662887
1032,145021.08910886652
852,216306.26642720713
1731,173898.30159819938
2639,113713.92843786739
2071,89558.13111222198
1267,121560.7882103669
1851,186179.96388541337
567,147269.7779571759
2439,206261.92570840757
1898,154760.47295068245
647,163739.13866585662
2256,211076.84879420727
979,98236.04574035539
1444,226672.43567423197
2485,120256.92361793367
157,140366.11409294535
88,120994.3152951356
2003,111753.74409155958
186,202220.14037559068
1425,245615.44256290753
2695,124397.12760211877
738,103276.75119422632
395,167729.95102655326
1353,174933.69305658175
1878,139411.19028364687
390,169735.68762357673
1456,240011.78821912312
1103,297882.25573494605
1387,117721.1661642104
2070,148795.33713584792
1199,179536.05625334877
2479,171243.8944213524
501,301247.2188977127
2362,93169.24849039981
1718,191939.42257477925
2188,83766.65014129797
1483,150047.94348940032
2557,84026.04330903589
437,360332.3359833505
2224,173273.4237075398
1628,174931.02099830259
397,139214.37870759136
587,195443.67451904228
2182,691656.95027756
971,125907.33537225079
2611,150591.07242879178
1887,95362.0133340286
2399,356664.6418926177
2148,199683.78750193617
304,121854.2180312715
1997,119688.00674605582
2817,102150.69575405585
1431,179950.8779343438
427,292890.11772600084
263,127297.40211411189
598,164215.6217034255
2895,230539.19229540275
687,157082.28602881724
1822,137025.01565249896
2191,102573.41525251408
179,129989.66049616078
1009,200008.54957705675
2010,130380.86546059986
1991,141213.8412740965
1411,167924.31349203826
1721,225593.36482330758
1144,192245.86343362473
593,233540.76953868775
575,314112.91549846967
1249,161532.02225384672
1604,124063.06947964891
1064,501210.2439473792
1923,156953.3884601473
1988,111178.14064441339
2325,167806.7112307852
114,209821.31299186972
2700,163627.94496554142
217,127668.20271186822
